City,Cuisines,Total_Restaurants,Average_Rating,Total_Votes
Colombo,"North Indian, Chinese, Sri Lankan",1,2.4,240
Colombo,Seafood,1,4.9,203
Colombo,"Seafood, Italian",1,4.0,196
Colombo,Sri Lankan,1,4.0,114
Columbus,American,2,4.4,632
Columbus,"American, Seafood, Cajun",1,4.6,489
Columbus,"American, Seafood, Steak",1,4.4,235
Columbus,"American, Tapas",1,4.1,302
Columbus,"Asian, Chinese",1,4.2,355
Columbus,"Asian, Vietnamese",1,3.3,33
Columbus,"BBQ, Southern",1,4.0,353
Columbus,"Breakfast, Diner, Southern",1,3.7,123
Columbus,"Burger, Bar Food, Southern",1,3.8,149
Columbus,Chinese,1,4.0,335
Columbus,"Italian, Mediterranean, Pizza",1,4.0,264
Columbus,"Italian, Pizza",1,4.0,170
Columbus,"Japanese, Steak",1,3.9,247
Columbus,"Japanese, Steak, Sushi",1,3.6,109
Columbus,"Japanese, Sushi, Thai",1,3.7,134
Columbus,Pizza,1,4.1,192
Columbus,"Pizza, Bar Food",1,3.9,330
Columbus,"Seafood, Steak, Vegetarian",1,4.2,722
Columbus,Steak,1,4.3,213
Consort,"Chinese, Canadian",1,3.0,6
Dalton,American,1,3.8,63
Dalton,"American, BBQ, Southern",2,3.95,150
Dalton,"American, Burger",1,4.1,122
Dalton,"American, Diner, Southern",1,4.3,244
Dalton,"American, Japanese, Sushi",1,4.6,214
Dalton,BBQ,2,4.25,335
Dalton,"BBQ, Breakfast, Southern",1,4.9,249
Dalton,"Desserts, Sandwich",2,4.050000000000001,147
Dalton,Fast Food,1,4.1,142
Dalton,Italian,1,3.7,116
Dalton,"Italian, Pizza",1,4.1,144
Dalton,Japanese,1,4.3,116
Dalton,"Japanese, Sushi",1,3.8,145
Dalton,Mexican,2,3.9499999999999997,197
Dalton,"Mexican, Tex-Mex",1,3.9,66
Dalton,Thai,1,4.2,111
Davenport,American,3,4.133333333333333,422
Davenport,"American, BBQ, Steak",1,4.2,197
Davenport,"American, Bar Food, BBQ",1,0.0,2
Davenport,"American, Breakfast",1,3.4,53
Davenport,"American, Breakfast, Greek",1,4.0,85
Davenport,"American, French",1,3.7,201
Davenport,Asian,1,4.9,474
Davenport,"Burger, Pizza",1,3.9,136
Davenport,Chinese,1,4.0,112
Davenport,Fast Food,1,3.9,125
Davenport,"Indian, Mediterranean, Middle Eastern",1,4.6,166
Davenport,Italian,1,4.1,117
Davenport,"Japanese, Sushi",1,4.2,141
Davenport,Mexican,3,2.7999999999999994,327
Davenport,"Sushi, Teriyaki",1,4.5,208
Davenport,Thai,1,4.1,256
Dehradun,Bakery,1,4.1,64
Dehradun,"Burger, Desserts",1,3.9,101
Dehradun,Cafe,3,4.033333333333333,222
Dehradun,"Cafe, Chinese",1,3.9,131
Dehradun,"Cafe, Chinese, Fast Food",1,4.1,104
Dehradun,"Cafe, Mexican",1,4.2,68
Dehradun,"Chinese, North Indian, Fast Food",1,4.3,63
Dehradun,"Chinese, Thai, Tibetan",1,4.2,406
Dehradun,"Desserts, North Indian, Chinese, South Indian, Fast Food, Street Food",1,3.9,141
Dehradun,"Mughlai, North Indian",1,4.0,98
Dehradun,North Indian,1,4.9,50
Dehradun,"North Indian, Chinese",3,3.8000000000000003,507
Dehradun,"North Indian, Chinese, Continental",1,3.9,173
Dehradun,"North Indian, Mediterranean, Asian, Chinese",1,4.4,66
Dehradun,"North Indian, Mughlai",1,3.9,121
Dehradun,"South Indian, North Indian, Chinese",1,3.8,115
Des Moines,"American, BBQ",1,4.3,699
Des Moines,"American, Breakfast",1,3.8,308
Des Moines,"American, Coffee and Tea",1,4.9,570
